Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Thu Sep 19 17:41:30 2024
Invocation: foremost -i op2.dd -o ./ff2 
Output directory: /home/kali/Desktop/dfw/ff2
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: op2.dd
Start: Thu Sep 19 17:41:30 2024
Length: 1024 MB (1073741824 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00001037.jpg 	      19 KB 	     531045 	 
1:	00001075.jpg 	      15 KB 	     550612 	 
2:	00001105.jpg 	      26 KB 	     566269 	 
3:	00001158.jpg 	      17 KB 	     593262 	 
4:	00001194.jpg 	      14 KB 	     611516 	 
5:	00001222.jpg 	      16 KB 	     625991 	 
6:	00001255.jpg 	      11 KB 	     642933 	 
7:	00001279.jpg 	      24 KB 	     655241 	 
8:	00001328.jpg 	      27 KB 	     680317 	 
9:	00001383.jpg 	      16 KB 	     708170 	 
10:	00001464.jpg 	       9 KB 	     749781 	 
11:	00001483.jpg 	      21 KB 	     759616 	 
12:	00001655.jpg 	      20 KB 	     847504 	 
13:	00001695.jpg 	      13 KB 	     868300 	 
14:	00001723.jpg 	      23 KB 	     882518 	 
15:	00001770.jpg 	      26 KB 	     906386 	 
16:	00001823.jpg 	      14 KB 	     933776 	 
17:	00001853.jpg 	      23 KB 	     948859 	 
18:	00001900.jpg 	      29 KB 	     973062 	 
19:	00001958.jpg 	      20 KB 	    1002839 	 
20:	00001999.jpg 	      24 KB 	    1023538 	 
21:	00002088.jpg 	      16 KB 	    1069211 	 
22:	00002121.jpg 	      11 KB 	    1085988 	 
23:	00002143.jpg 	      11 KB 	    1097638 	 
24:	00002167.jpg 	      10 KB 	    1109876 	 
25:	00002189.jpg 	       9 KB 	    1120770 	 
26:	00002207.jpg 	       9 KB 	    1130192 	 
27:	00002227.jpg 	      11 KB 	    1140256 	 
28:	00002249.jpg 	      14 KB 	    1151949 	 
29:	00002279.jpg 	      10 KB 	    1166954 	 
30:	00002300.jpg 	      12 KB 	    1177765 	 
31:	00002326.jpg 	      15 KB 	    1190921 	 
32:	00002358.jpg 	      15 KB 	    1207297 	 
33:	00002389.jpg 	       9 KB 	    1223451 	 
34:	00002409.jpg 	       8 KB 	    1233677 	 
35:	00002426.jpg 	      13 KB 	    1242278 	 
36:	00002453.jpg 	      13 KB 	    1255970 	 
37:	00002479.jpg 	      14 KB 	    1269579 	 
38:	00002509.jpg 	      11 KB 	    1284918 	 
39:	00002532.jpg 	      10 KB 	    1296755 	 
40:	00002552.jpg 	      10 KB 	    1307075 	 
41:	00002573.jpg 	      12 KB 	    1317839 	 
42:	00002598.jpg 	      12 KB 	    1330334 	 
43:	00002624.jpg 	       8 KB 	    1343559 	 
44:	00002641.jpg 	      10 KB 	    1352594 	 
45:	00002662.jpg 	      17 KB 	    1363236 	 
46:	00002697.jpg 	      30 KB 	    1380946 	 
47:	00002757.jpg 	      14 KB 	    1411777 	 
48:	00002964.jpg 	      20 KB 	    1517702 	 
49:	00003004.jpg 	      19 KB 	    1538448 	 
50:	00003043.jpg 	      17 KB 	    1558350 	 
51:	00003078.jpg 	      14 KB 	    1576386 	 
52:	00003107.jpg 	      16 KB 	    1590827 	 
53:	00003193.jpg 	      14 KB 	    1634924 	 
54:	00003656.jpg 	      38 KB 	    1872021 	 
55:	00003732.jpg 	      55 KB 	    1911153 	 
56:	00008029.jpg 	      19 KB 	    4110855 	 
57:	00008341.jpg 	      49 KB 	    4270655 	 
58:	00008439.jpg 	      50 KB 	    4321130 	 
59:	00008539.jpg 	      78 KB 	    4372427 	 
60:	00009107.jpg 	      39 KB 	    4662855 	 
61:	00010799.jpg 	      47 KB 	    5529156 	 
62:	00010894.jpg 	      54 KB 	    5578084 	 
63:	00011004.jpg 	      50 KB 	    5634193 	 
64:	00013553.jpg 	      33 KB 	    6939198 	 
65:	00074440.jpg 	     294 KB 	   38113280 	 
66:	00001037.zip 	       7 MB 	     530972 	 
67:	00001415.png 	      24 KB 	     724908 	  (349 x 458)
68:	00001527.png 	      31 KB 	     782122 	  (480 x 532)
69:	00001591.png 	      31 KB 	     814774 	  (487 x 511)
70:	00002786.png 	      26 KB 	    1426607 	  (550 x 381)
71:	00002839.png 	      28 KB 	    1453955 	  (551 x 412)
72:	00002897.png 	      33 KB 	    1483552 	  (553 x 461)
73:	00003139.png 	      26 KB 	    1607603 	  (548 x 410)
74:	00003843.png 	      15 KB 	    1968102 	  (801 x 82)
75:	00003874.png 	     151 KB 	    1983704 	  (648 x 477)
76:	00004177.png 	      10 KB 	    2138926 	  (280 x 88)
77:	00004199.png 	      10 KB 	    2150243 	  (297 x 112)
78:	00004221.png 	       6 KB 	    2161381 	  (200 x 68)
79:	00004234.png 	      15 KB 	    2168286 	  (292 x 110)
80:	00004265.png 	      11 KB 	    2184046 	  (377 x 110)
81:	00004288.png 	      19 KB 	    2195654 	  (286 x 132)
82:	00004326.png 	      27 KB 	    2215231 	  (299 x 187)
83:	00004380.png 	       7 KB 	    2243071 	  (297 x 80)
84:	00004396.png 	       8 KB 	    2251128 	  (441 x 68)
85:	00004414.png 	      11 KB 	    2260115 	  (321 x 75)
86:	00004437.png 	      12 KB 	    2272172 	  (333 x 78)
87:	00004462.png 	     158 KB 	    2284882 	  (755 x 405)
88:	00004780.png 	      21 KB 	    2447458 	  (360 x 126)
89:	00004823.png 	      32 KB 	    2469776 	  (657 x 127)
90:	00004888.png 	      60 KB 	    2502761 	  (834 x 128)
91:	00005010.png 	      28 KB 	    2565203 	  (819 x 122)
92:	00005067.png 	      25 KB 	    2594598 	  (448 x 124)
93:	00005118.png 	      17 KB 	    2620872 	  (383 x 111)
94:	00005154.png 	      26 KB 	    2639103 	  (635 x 77)
95:	00005207.png 	       7 KB 	    2666313 	  (222 x 72)
96:	00005222.png 	      33 KB 	    2674160 	  (929 x 97)
97:	00005290.png 	      60 KB 	    2708597 	  (655 x 192)
98:	00005411.png 	      74 KB 	    2770929 	  (533 x 195)
99:	00005560.png 	      83 KB 	    2847034 	  (785 x 193)
100:	00005727.png 	      73 KB 	    2932372 	  (707 x 153)
101:	00005874.png 	     122 KB 	    3007899 	  (777 x 279)
102:	00006119.png 	       6 KB 	    3132964 	  (252 x 59)
103:	00006131.png 	      17 KB 	    3139452 	  (247 x 148)
104:	00006167.png 	       7 KB 	    3157534 	  (210 x 53)
105:	00006181.png 	       6 KB 	    3164894 	  (214 x 60)
106:	00006194.png 	       8 KB 	    3171747 	  (280 x 49)
107:	00006211.png 	      61 KB 	    3180278 	  (538 x 454)
108:	00006335.png 	      88 KB 	    3243617 	  (531 x 682)
109:	00006512.png 	      16 KB 	    3334154 	  (369 x 76)
110:	00006545.png 	      22 KB 	    3351227 	  (317 x 134)
111:	00006590.png 	     116 KB 	    3374137 	  (790 x 325)
112:	00006823.png 	       6 KB 	    3493551 	  (278 x 56)
113:	00006837.png 	      17 KB 	    3500628 	  (294 x 121)
114:	00006871.png 	      98 KB 	    3518251 	  (387 x 513)
115:	00007068.png 	      54 KB 	    3619307 	  (686 x 278)
116:	00007177.png 	       8 KB 	    3674744 	  (366 x 44)
117:	00007193.png 	      90 KB 	    3683164 	  (560 x 212)
118:	00007375.png 	      11 KB 	    3776251 	  (269 x 75)
119:	00007398.png 	     124 KB 	    3787934 	  (652 x 270)
120:	00007648.png 	      64 KB 	    3915940 	  (528 x 323)
121:	00007776.png 	      41 KB 	    3981765 	  (521 x 257)
122:	00007859.png 	      16 KB 	    4024031 	  (470 x 178)
123:	00007892.png 	      12 KB 	    4040792 	  (462 x 170)
124:	00007916.png 	      30 KB 	    4053363 	  (794 x 94)
125:	00007976.png 	       9 KB 	    4084157 	  (235 x 69)
126:	00007995.png 	       8 KB 	    4093786 	  (201 x 68)
127:	00008012.png 	       8 KB 	    4102585 	  (203 x 72)
128:	00008067.png 	      24 KB 	    4130658 	  (696 x 284)
129:	00008117.png 	      55 KB 	    4156213 	  (694 x 587)
130:	00008228.png 	      45 KB 	    4213020 	  (443 x 505)
131:	00008320.png 	       5 KB 	    4259962 	  (469 x 100)
132:	00008331.png 	       4 KB 	    4265983 	  (466 x 115)
133:	00008697.png 	      36 KB 	    4453371 	  (488 x 428)
134:	00008770.png 	      40 KB 	    4490685 	  (494 x 369)
135:	00008852.png 	      31 KB 	    4532422 	  (494 x 322)
136:	00008914.png 	      69 KB 	    4564294 	  (479 x 413)
137:	00009053.png 	      26 KB 	    4635505 	  (510 x 65)
138:	00009186.png 	     130 KB 	    4703378 	  (558 x 713)
139:	00009446.png 	     270 KB 	    4836831 	  (939 x 774)
140:	00009987.png 	      45 KB 	    5113405 	  (378 x 305)
141:	00010078.png 	      14 KB 	    5160069 	  (422 x 113)
142:	00010108.png 	      43 KB 	    5175308 	  (377 x 314)
143:	00010195.png 	      17 KB 	    5220197 	  (374 x 113)
144:	00010231.png 	      22 KB 	    5238627 	  (376 x 112)
145:	00010276.png 	      15 KB 	    5261398 	  (372 x 75)
146:	00010306.png 	     100 KB 	    5276975 	  (690 x 748)
147:	00010508.png 	      79 KB 	    5380297 	  (382 x 510)
148:	00010666.png 	      66 KB 	    5461412 	  (327 x 719)
149:	00011105.png 	     186 KB 	    5685804 	  (672 x 466)
150:	00011478.png 	      34 KB 	    5877172 	  (572 x 95)
151:	00011548.png 	     110 KB 	    5912610 	  (708 x 579)
152:	00011769.png 	      21 KB 	    6025961 	  (408 x 69)
153:	00011812.png 	      29 KB 	    6048089 	  (627 x 82)
154:	00011872.png 	      43 KB 	    6078564 	  (606 x 296)
155:	00011960.png 	      12 KB 	    6123624 	  (283 x 71)
156:	00011985.png 	      30 KB 	    6136381 	  (591 x 212)
157:	00012046.png 	      32 KB 	    6167603 	  (635 x 171)
158:	00012111.png 	      50 KB 	    6201054 	  (603 x 328)
159:	00012211.png 	      70 KB 	    6252387 	  (915 x 217)
160:	00012351.png 	      53 KB 	    6324211 	  (605 x 344)
161:	00012459.png 	      42 KB 	    6379386 	  (283 x 290)
162:	00012543.png 	      19 KB 	    6422513 	  (279 x 109)
163:	00012582.png 	      14 KB 	    6442181 	  (506 x 122)
164:	00012610.png 	      16 KB 	    6456717 	  (288 x 115)
165:	00012644.png 	      12 KB 	    6473964 	  (550 x 97)
166:	00012669.png 	      11 KB 	    6486779 	  (276 x 66)
167:	00012692.png 	      16 KB 	    6498338 	  (527 x 147)
168:	00012724.png 	      23 KB 	    6514809 	  (284 x 113)
169:	00012771.png 	      13 KB 	    6539189 	  (500 x 123)
170:	00012798.png 	      16 KB 	    6552817 	  (287 x 86)
171:	00012832.png 	      16 KB 	    6570091 	  (552 x 121)
172:	00012865.png 	      12 KB 	    6587242 	  (284 x 74)
173:	00012889.png 	      11 KB 	    6599638 	  (495 x 98)
174:	00012913.png 	      18 KB 	    6611795 	  (282 x 89)
175:	00012949.png 	      11 KB 	    6630310 	  (464 x 96)
176:	00012972.png 	      13 KB 	    6642101 	  (278 x 68)
177:	00013000.png 	     116 KB 	    6656229 	  (604 x 635)
178:	00013234.png 	      11 KB 	    6775861 	  (530 x 60)
179:	00013258.png 	      17 KB 	    6788149 	  (542 x 109)
180:	00013292.png 	      29 KB 	    6805967 	  (278 x 148)
181:	00013351.png 	      19 KB 	    6836221 	  (280 x 69)
182:	00013390.png 	      15 KB 	    6856134 	  (280 x 72)
